Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Rating,Total_Sales,Customer type_Member,Customer type_Memberr,Customer type_Normal,Gender_Male,Payment_Credit card,Payment_Ewallet
529-56-3974,B,0,0,1,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,6.8,25.5125.5125.5125.51,False,False,True,True,False,False
365-64-0515,A,1,0,0,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,7.1,46.9546.9546.9546.9546.95,False,False,True,True,False,True
252-56-2699,A,1,0,0,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,8.2,43.1943.1943.1943.1943.1943.1943.1943.1943.1943.19,False,False,True,True,False,True
829-34-3910,A,1,0,0,Health and beauty,71.38,10,35.69,453.495,2019-03-29,19:21,5.7,71.3871.3871.3871.3871.3871.3871.3871.3871.3871.38,False,False,True,True,False,False
299-46-1805,B,0,0,1,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,4.5,93.7293.7293.7293.7293.7293.72,False,False,True,True,False,False
656-95-9349,A,1,0,0,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,4.6,68.9368.9368.9368.9368.9368.9368.93,False,False,True,True,True,False
765-26-6951,A,1,0,0,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,6.9,72.6172.6172.6172.6172.6172.61,False,False,True,True,True,False
329-62-1586,A,1,0,0,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,8.6,54.6754.6754.67,False,False,True,True,True,False
319-50-3348,B,0,0,1,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,4.4,40.340.3,False,False,True,True,False,True
300-71-4605,C,0,1,0,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,4.8,86.0486.0486.0486.0486.04,False,False,True,True,False,True
371-85-5789,B,0,0,1,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,5.1,87.9887.9887.98,False,False,True,True,False,True
273-16-6619,B,0,0,1,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,4.4,33.233.2,False,False,True,True,True,False
636-48-8204,A,1,0,0,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,9.9,34.5634.5634.5634.5634.56,False,False,True,True,False,True
549-59-1358,A,1,0,0,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,6.0,88.6388.6388.63,False,False,True,True,False,True
227-03-5010,A,1,0,0,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,8.5,52.5952.5952.5952.5952.5952.5952.5952.59,False,False,True,True,True,False
649-29-6775,B,0,0,1,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,6.7,33.52,False,False,True,True,False,False
189-17-4241,A,1,0,0,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,7.7,87.6787.67,False,False,True,True,True,False
145-94-9061,B,0,0,1,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,9.6,88.3688.3688.3688.3688.36,False,False,True,True,False,False
848-62-7243,A,1,0,0,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,7.4,24.8924.8924.8924.8924.8924.8924.8924.8924.89,False,False,True,True,False,False
871-79-8483,B,0,0,1,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,4.8,94.1394.1394.1394.1394.13,False,False,True,True,True,False
149-71-6266,B,0,0,1,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43,4.5,78.0778.0778.0778.0778.0778.0778.0778.0778.07,False,False,True,True,False,False
640-49-2076,B,0,0,1,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,5.1,83.7883.7883.7883.7883.7883.7883.7883.78,False,False,True,True,False,False
595-11-5460,A,1,0,0,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12,5.1,96.5896.58,False,False,True,True,True,False
183-56-6882,C,0,1,0,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42,7.5,99.4299.4299.4299.42,False,False,True,True,False,True
232-16-2483,C,0,1,0,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28,6.8,68.12,False,False,True,True,False,True
129-29-8530,A,1,0,0,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,7.0,62.6262.6262.6262.6262.62,False,False,True,True,False,True
272-65-1806,A,1,0,0,Electronic accessories,60.88,9,27.396,328.755,2019-01-15,17:17,4.7,60.8860.8860.8860.8860.8860.8860.8860.8860.88,False,False,True,True,False,True
333-73-7901,C,0,1,0,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24,7.6,54.9254.9254.9254.9254.9254.9254.9254.92,False,False,True,True,False,True
777-82-7220,B,0,0,1,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01,7.7,30.1230.1230.1230.1230.1230.1230.1230.12,False,False,True,True,False,False
280-35-5823,B,0,0,1,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,7.9,86.72,False,False,True,True,False,True
554-53-8700,C,0,1,0,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11,6.3,56.1156.11,False,False,True,True,False,False
354-25-5821,B,0,0,1,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03,5.6,69.1269.1269.1269.1269.1269.12,False,False,True,True,False,False
228-96-1411,C,0,1,0,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,7.6,98.798.798.798.798.798.798.798.7,False,False,True,True,False,False
617-15-4209,C,0,1,0,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,7.2,15.3715.37,False,False,True,True,False,False
132-32-9879,B,0,0,1,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00,9.5,93.9693.9693.9693.96,False,False,True,True,False,False
370-41-7321,B,0,0,1,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24,8.4,56.6956.6956.6956.6956.6956.6956.6956.6956.69,False,False,False,True,True,False
727-46-3608,B,0,0,1,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47,4.1,20.0120.0120.0120.0120.0120.0120.0120.0120.01,False,False,False,True,False,True
669-54-1719,B,0,0,1,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45,8.1,18.9318.9318.9318.9318.9318.93,False,False,False,True,True,False
574-22-5561,C,0,1,0,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08,7.9,82.6382.6382.6382.6382.6382.6382.6382.6382.6382.63,False,False,False,False,False,True
326-78-5178,C,0,1,0,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19,9.5,91.491.491.491.491.491.491.4,False,False,False,True,False,False
162-48-8011,A,1,0,0,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10,8.5,44.5944.5944.5944.5944.59,False,False,False,False,False,False
616-24-2851,B,0,0,1,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42,6.5,17.8717.8717.8717.87,False,False,False,False,False,True
778-71-5554,C,0,1,0,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46,6.1,15.43,False,False,False,True,True,False
242-55-6721,B,0,0,1,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49,6.5,16.1616.16,False,False,False,True,False,True
399-46-5918,C,0,1,0,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01,8.2,85.9885.9885.9885.9885.9885.9885.9885.98,False,False,False,False,False,False
106-35-6779,A,1,0,0,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26,5.8,44.3444.34,False,False,False,True,False,False
635-40-6220,A,1,0,0,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,6.6,89.689.689.689.689.689.689.689.6,False,False,False,True,False,True
817-48-8732,A,1,0,0,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55,5.4,72.3572.3572.3572.3572.3572.3572.3572.3572.3572.35,False,False,False,False,False,False
120-06-4233,C,0,1,0,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36,9.3,30.6130.6130.6130.6130.6130.61,False,False,False,True,False,False
285-68-5083,C,0,1,0,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47,10.0,24.7424.7424.74,False,False,False,False,True,False
803-83-5989,C,0,1,0,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55,7.0,55.7355.7355.7355.7355.7355.73,False,False,False,True,False,True
347-34-2234,B,0,0,1,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40,10.0,55.0755.0755.0755.0755.0755.0755.0755.0755.07,False,False,False,False,False,True
199-75-8169,A,1,0,0,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27,8.6,15.8115.8115.8115.8115.8115.8115.8115.8115.8115.81,False,False,False,True,True,False
853-23-2453,B,0,0,1,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35,7.6,75.7475.7475.7475.74,False,False,False,True,False,False
877-22-3308,A,1,0,0,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40,5.8,15.8715.8715.8715.8715.8715.8715.8715.8715.8715.87,False,False,False,True,False,False
838-78-4295,C,0,1,0,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43,6.7,33.4733.47,False,False,False,False,False,True
109-28-2512,B,0,0,1,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01,9.9,97.6197.6197.6197.6197.6197.61,False,False,False,False,False,True
232-11-3025,A,1,0,0,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04,6.4,78.7778.7778.7778.7778.7778.7778.7778.7778.7778.77,False,False,False,True,False,False
382-03-4532,A,1,0,0,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50,4.3,18.33,False,False,False,False,False,False
393-65-2792,C,0,1,0,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,9.6,89.4889.4889.4889.4889.4889.4889.4889.4889.4889.48,False,False,False,True,True,False
796-12-2025,C,0,1,0,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,5.9,62.1262.1262.1262.1262.1262.1262.1262.1262.1262.12,False,False,False,True,False,False
510-95-6347,B,0,0,1,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17,4.0,48.5248.5248.52,False,False,False,False,False,True
841-35-6630,C,0,1,0,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21,8.7,75.9175.9175.9175.9175.9175.91,False,False,True,False,False,False
287-21-9091,A,1,0,0,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,9.4,74.6774.6774.6774.6774.6774.6774.6774.6774.67,False,False,True,True,False,True
732-94-0499,C,0,1,0,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04,5.4,41.6541.6541.6541.6541.6541.6541.6541.6541.6541.65,False,False,True,False,True,False
263-10-3913,C,0,1,0,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20,8.6,49.0449.0449.0449.0449.0449.0449.0449.0449.04,True,False,False,True,True,False
381-20-0914,A,1,0,0,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,5.7,20.0120.0120.0120.0120.0120.0120.0120.0120.01,True,False,False,False,True,False
829-49-1914,C,0,1,0,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24,6.6,78.3178.3178.3178.3178.3178.3178.3178.3178.3178.31,True,False,False,False,False,True
756-01-7507,C,0,1,0,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56,6.0,20.3820.3820.3820.3820.38,False,False,True,False,False,False
870-72-4431,C,0,1,0,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42,5.5,99.1999.1999.1999.1999.1999.19,False,False,True,False,True,False
847-38-7188,B,0,0,1,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56,6.4,96.6896.6896.68,False,False,True,False,False,True
480-63-2856,C,0,1,0,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,6.6,19.2519.2519.2519.2519.2519.2519.2519.25,False,False,True,True,False,True
787-56-0757,C,0,1,0,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45,8.3,80.3680.3680.3680.36,True,False,False,False,True,False
360-39-5055,C,0,1,0,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17,6.6,48.9148.9148.9148.9148.91,True,False,False,True,False,False
730-50-9884,C,0,1,0,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31,4.0,83.0683.0683.0683.0683.0683.0683.06,False,False,True,False,False,True
362-58-8315,C,0,1,0,Fashion accessories,76.52,5,29.071,401.73,2019-03-25,10:23,9.9,76.5276.5276.5276.5276.52,False,False,True,True,False,False
633-44-8566,A,1,0,0,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35,7.3,49.3849.3849.3849.3849.3849.3849.38,True,False,False,True,True,False
504-35-8843,A,1,0,0,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,5.7,42.47,False,False,True,True,False,False
318-68-5053,B,0,0,1,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55,6.1,76.9976.9976.9976.9976.9976.99,False,False,True,False,False,False
565-80-5980,C,0,1,0,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25,7.1,47.3847.3847.3847.38,True,False,False,False,False,False
225-32-0908,C,0,1,0,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,8.2,44.8644.8644.8644.8644.8644.8644.8644.8644.8644.86,False,False,True,False,False,True
873-51-0671,A,1,0,0,Sports and travel,21.98,7,22.43,161.553,2019-01-10,16:42,5.1,21.9821.9821.9821.9821.9821.9821.98,True,False,False,False,False,True
152-08-9985,B,0,0,1,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09,8.6,64.3664.3664.3664.3664.3664.3664.3664.3664.36,True,False,False,True,True,False
512-91-0811,C,0,1,0,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05,6.6,89.75,False,False,True,True,True,False
594-34-4444,A,1,0,0,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38,7.2,97.16,False,False,True,True,False,True
766-85-7061,B,0,0,1,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25,5.1,87.8787.8787.8787.8787.8787.8787.8787.8787.8787.87,False,False,True,True,False,True
871-39-9221,C,0,1,0,Electronic accessories,12.45 USD,6,43.935,78.435,2019-02-09,13:11,4.1,12.45 USD12.45 USD12.45 USD12.45 USD12.45 USD12.45 USD,False,False,True,False,False,False
865-92-6136,A,1,0,0,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16,9.3,52.7552.7552.75,False,False,True,True,False,True
733-01-9107,B,0,0,1,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,7.4,82.782.782.782.782.782.7,False,False,True,True,False,False
163-56-7055,C,0,1,0,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20,4.1,48.71,True,False,False,True,False,False
189-98-2939,C,0,1,0,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22,7.2,78.5578.5578.5578.5578.5578.5578.5578.5578.55,False,False,True,True,False,False
551-21-3069,C,0,1,0,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27,4.9,23.0723.0723.0723.0723.0723.0723.0723.0723.07,False,False,True,False,False,False
212-62-1842,A,1,0,0,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44,9.9,58.2658.2658.2658.2658.2658.26,False,False,True,True,False,False
716-39-1409,B,0,0,1,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19,8.0,30.3530.3530.3530.3530.3530.3530.35,False,False,True,True,False,False
704-48-3927,A,1,0,0,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,7.3,88.6788.6788.6788.6788.6788.6788.6788.6788.6788.67,True,False,False,True,False,True
628-34-3388,C,0,1,0,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54,7.9,27.3827.3827.3827.3827.3827.38,False,False,True,True,True,False
630-74-5166,A,1,0,0,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19,7.4,62.1362.1362.1362.1362.1362.13,False,False,True,True,False,False
588-01-7461,C,0,1,0,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43,4.2,33.9833.9833.9833.9833.9833.9833.9833.9833.98,False,False,True,False,False,False
861-77-0145,C,0,1,0,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30,9.2,81.9781.9781.9781.9781.9781.9781.9781.9781.9781.97,True,False,False,True,False,False
479-26-8945,B,0,0,1,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32,4.6,16.4916.49,True,False,False,False,False,True
210-67-5886,C,0,1,0,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41,7.8,98.2198.2198.21,True,False,False,False,True,False
227-78-1148,B,0,0,1,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44,8.4,72.8472.8472.8472.8472.8472.8472.84,False,False,True,False,False,False
645-44-1170,A,1,0,0,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07,4.3,58.0758.0758.0758.0758.0758.0758.0758.0758.07,True,False,False,True,False,True
237-01-6122,C,0,1,0,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31,9.5,80.7980.7980.7980.7980.7980.7980.7980.7980.79,True,False,False,False,True,False
225-98-1496,C,0,1,0,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01,7.1,27.0227.0227.02,False,False,True,False,True,False
291-32-1427,B,0,0,1,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29,5.3,21.9421.9421.9421.9421.94,True,False,False,True,False,True
659-65-8956,B,0,0,1,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26,5.2,51.36,True,False,False,True,False,True
642-32-2990,A,1,0,0,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,6.0,10.9610.9610.9610.9610.9610.9610.9610.9610.9610.96,False,False,True,False,False,True
378-24-2715,B,0,0,1,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38,4.1,53.4453.44,False,False,True,True,False,True
638-60-7125,A,1,0,0,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03,5.2,99.5699.5699.5699.5699.5699.5699.5699.56,False,False,True,False,True,False
659-36-1684,C,0,1,0,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02,6.5,57.1257.1257.1257.1257.1257.1257.12,True,False,False,True,True,False
219-22-9386,B,0,0,1,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26,4.2,99.9699.9699.9699.9699.9699.9699.9699.9699.96,True,False,False,True,True,False
336-78-2147,C,0,1,0,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52,4.6,63.9163.9163.9163.9163.9163.9163.9163.91,True,False,False,True,True,False
268-27-6179,B,0,0,1,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57,7.3,56.4756.4756.4756.4756.4756.4756.4756.47,True,False,False,False,False,True
668-90-8900,A,1,0,0,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44,4.5,93.6993.6993.6993.6993.6993.6993.69,False,False,True,False,True,False
870-54-3162,A,1,0,0,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26,9.0,32.2532.2532.2532.2532.25,False,False,True,False,False,False
189-08-9157,C,0,1,0,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17,5.9,31.7331.7331.7331.7331.7331.7331.7331.7331.73,False,False,True,False,True,False
663-86-9076,C,0,1,0,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57,8.5,68.5468.5468.5468.5468.5468.5468.5468.54,True,False,False,False,False,True
549-84-7482,B,0,0,1,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15,7.2,90.2890.2890.2890.2890.2890.2890.2890.2890.28,False,False,True,False,False,True
191-10-6171,B,0,0,1,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18,7.5,39.6239.6239.6239.6239.6239.6239.62,False,False,True,False,False,False
802-70-5316,A,1,0,0,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34,8.3,92.1392.1392.1392.1392.1392.13,True,False,False,False,False,False
695-51-0018,B,0,0,1,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36,7.4,34.8434.8434.8434.84,False,False,True,False,False,False
590-83-4591,B,0,0,1,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40,8.8,87.4587.4587.4587.4587.4587.45,True,False,False,True,True,False
483-71-1164,C,0,1,0,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43,5.3,81.381.381.381.381.381.3,False,False,True,False,False,True
597-78-7908,C,0,1,0,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39,6.2,90.2290.2290.22,False,False,True,True,False,False
700-81-1757,A,1,0,0,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59,8.8,26.3126.3126.3126.3126.31,False,False,True,False,True,False
354-39-5160,A,1,0,0,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39,9.8,34.4234.4234.4234.4234.4234.42,True,False,False,False,False,False
241-72-9525,B,0,0,1,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21,8.2,51.9151.9151.9151.9151.9151.9151.9151.9151.9151.91,False,False,True,True,False,False
575-30-8091,A,1,0,0,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,9.2,72.572.572.572.572.572.572.572.5,False,False,True,True,False,True
731-81-9469,C,0,1,0,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00,5.4,89.889.889.889.889.889.889.889.889.889.8,True,False,False,False,True,False
280-17-4359,C,0,1,0,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48,8.1,90.590.590.590.590.590.590.590.590.590.5,True,False,False,True,False,False
338-65-2210,C,0,1,0,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57,9.1,68.668.668.668.668.668.668.668.668.668.6,True,False,False,False,False,False
488-25-4221,C,0,1,0,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36,8.4,30.41,True,False,False,False,True,False
239-10-7476,A,1,0,0,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37,8.0,77.9577.9577.9577.9577.9577.95,False,False,True,False,False,True
458-41-1477,C,0,1,0,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11,9.5,46.2646.2646.2646.2646.2646.26,False,False,True,False,True,False
685-64-1609,A,1,0,0,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,9.2,30.1430.1430.1430.1430.1430.1430.1430.1430.1430.14,True,False,False,False,False,True
568-90-5112,C,0,1,0,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46,5.6,66.1466.1466.1466.14,False,False,True,True,True,False
262-47-2794,B,0,0,1,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07,6.2,71.8671.8671.8671.8671.8671.8671.8671.86,True,False,False,True,True,False
238-49-0436,A,1,0,0,Health and beauty,32.46,8,12.984,272.664,2019-03-27,13:48,4.9,32.4632.4632.4632.4632.4632.4632.4632.46,False,False,True,True,True,False
608-96-3517,B,0,0,1,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,19:20,4.8,91.5491.5491.5491.54,True,False,False,False,True,False
584-86-7256,C,0,1,0,Sports and travel,34.56,7,12.096,254.016,2019-03-11,16:07,7.3,34.5634.5634.5634.5634.5634.5634.56,True,False,False,True,True,False
746-94-0204,A,1,0,0,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56,7.4,83.2483.2483.2483.2483.2483.2483.2483.2483.24,False,False,True,True,True,False
214-17-6927,C,0,1,0,Food and beverages,16.48,6,4.944,103.824,2019-02-07,18:23,9.9,16.4816.4816.4816.4816.4816.48,False,False,True,False,False,True
400-89-4171,C,0,1,0,Sports and travel,80.97,8,32.388,680.148,2019-01-28,13:05,9.3,80.9780.9780.9780.9780.9780.9780.9780.97,False,False,True,False,False,False
782-95-9291,A,1,0,0,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,15:55,9.0,92.2992.2992.2992.2992.29,True,False,False,True,True,False
279-74-2924,B,0,0,1,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,19:40,6.1,72.17,True,False,False,True,False,False
307-85-2293,B,0,0,1,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58,97.0,50.2850.2850.2850.2850.28,False,False,True,True,False,True
743-04-1105,B,0,0,1,Health and beauty,97.22,9,43.749,918.729,2019-03-30,14:43,6.0,97.2297.2297.2297.2297.2297.2297.2297.2297.22,True,False,False,True,False,True
423-57-2993,B,0,0,1,Sports and travel,93.39,6,28.017,588.357,2019-03-27,19:18,10.0,93.3993.3993.3993.3993.3993.39,False,False,True,True,False,True
894-41-5205,C,0,1,0,Food and beverages,43.18,8,17.272,362.712,2019-01-19,19:39,8.3,43.1843.1843.1843.1843.1843.1843.1843.18,False,False,True,False,True,False
275-28-0149,A,1,0,0,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,16:21,6.0,63.69,False,False,True,True,False,False
101-17-6199,A,1,0,0,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,19:44,7.0,45.7945.7945.7945.7945.7945.7945.79,False,False,True,True,True,False
423-80-0988,C,0,1,0,Sports and travel,76.4,2,7.64,160.44,2019-01-30,19:42,6.5,76.476.4,False,False,True,True,False,True
548-46-9322,B,0,0,1,Food and beverages,39.9,10,19.95,418.95,2019-02-20,15:24,5.9,39.939.939.939.939.939.939.939.939.939.9,False,False,True,True,True,False
